mu_1,sigma_1,mu_2,sigma_2,mu_3,sigma_3,mu_4,sigma_4
8.0,7.2,8.0,4.5,5.0,7.2,5.0,4.5
8.0,7.6,8.0,4.75,5.0,7.6,5.0,4.75
8.0,8.0,8.0,5.0,5.0,8.0,5.0,5.0
8.0,8.4,8.0,5.25,5.0,8.4,5.0,5.25
8.0,8.8,8.0,5.5,5.0,8.8,5.0,5.5
8.0,9.2,8.0,5.75,5.0,9.2,5.0,5.75
8.0,9.6,8.0,6.0,5.0,9.6,5.0,6.0
8.0,10.0,8.0,6.25,5.0,10.0,5.0,6.25
8.0,10.4,8.0,6.5,5.0,10.4,5.0,6.5
8.0,10.8,8.0,6.75,5.0,10.8,5.0,6.75
8.0,11.2,8.0,7.0,5.0,11.2,5.0,7.0
8.0,11.6,8.0,7.25,5.0,11.6,5.0,7.25
8.0,12.0,8.0,7.5,5.0,12.0,5.0,7.5
8.0,4.5,8.0,2.5,5.0,4.5,5.0,2.5
8.0,4.95,8.0,2.75,5.0,4.95,5.0,2.75
8.0,5.4,8.0,3.0,5.0,5.4,5.0,3.0
8.0,5.85,8.0,3.25,5.0,5.85,5.0,3.25
8.0,6.3,8.0,3.5,5.0,6.3,5.0,3.5
8.0,6.75,8.0,3.75,5.0,6.75,5.0,3.75
8.0,7.2,8.0,4.0,5.0,7.2,5.0,4.0
8.0,7.65,8.0,4.25,5.0,7.65,5.0,4.25
8.0,8.1,8.0,4.5,5.0,8.1,5.0,4.5
8.0,8.55,8.0,4.75,5.0,8.55,5.0,4.75
8.0,9.0,8.0,5.0,5.0,9.0,5.0,5.0
8.0,9.45,8.0,5.25,5.0,9.45,5.0,5.25
8.0,9.9,8.0,5.5,5.0,9.9,5.0,5.5
8.0,10.35,8.0,5.75,5.0,10.35,5.0,5.75
8.0,10.8,8.0,6.0,5.0,10.8,5.0,6.0
8.0,11.25,8.0,6.25,5.0,11.25,5.0,6.25
8.0,11.7,8.0,6.5,5.0,11.7,5.0,6.5
8.0,12.15,8.0,6.75,5.0,12.15,5.0,6.75
8.0,12.6,8.0,7.0,5.0,12.6,5.0,7.0
8.0,13.05,8.0,7.25,5.0,13.05,5.0,7.25
8.0,13.5,8.0,7.5,5.0,13.5,5.0,7.5
8.0,5.0,8.0,2.5,5.0,5.0,5.0,2.5
8.0,5.5,8.0,2.75,5.0,5.5,5.0,2.75
8.0,6.0,8.0,3.0,5.0,6.0,5.0,3.0
8.0,6.5,8.0,3.25,5.0,6.5,5.0,3.25
8.0,7.0,8.0,3.5,5.0,7.0,5.0,3.5
8.0,7.5,8.0,3.75,5.0,7.5,5.0,3.75
8.0,8.0,8.0,4.0,5.0,8.0,5.0,4.0
8.0,8.5,8.0,4.25,5.0,8.5,5.0,4.25
8.0,9.0,8.0,4.5,5.0,9.0,5.0,4.5
8.0,9.5,8.0,4.75,5.0,9.5,5.0,4.75
8.0,10.0,8.0,5.0,5.0,10.0,5.0,5.0
8.0,10.5,8.0,5.25,5.0,10.5,5.0,5.25
8.0,11.0,8.0,5.5,5.0,11.0,5.0,5.5
8.0,11.5,8.0,5.75,5.0,11.5,5.0,5.75
8.0,12.0,8.0,6.0,5.0,12.0,5.0,6.0
8.0,12.5,8.0,6.25,5.0,12.5,5.0,6.25
8.0,13.0,8.0,6.5,5.0,13.0,5.0,6.5
8.0,13.5,8.0,6.75,5.0,13.5,5.0,6.75
8.0,14.0,8.0,7.0,5.0,14.0,5.0,7.0
8.0,14.5,8.0,7.25,5.0,14.5,5.0,7.25
8.0,15.0,8.0,7.5,5.0,15.0,5.0,7.5
9.0,3.0,9.0,2.5,5.0,3.0,5.0,2.5
9.0,3.3,9.0,2.75,5.0,3.3,5.0,2.75
9.0,3.6,9.0,3.0,5.0,3.6,5.0,3.0
9.0,3.9,9.0,3.25,5.0,3.9,5.0,3.25
9.0,4.2,9.0,3.5,5.0,4.2,5.0,3.5
9.0,4.5,9.0,3.75,5.0,4.5,5.0,3.75
9.0,4.8,9.0,4.0,5.0,4.8,5.0,4.0
9.0,5.1,9.0,4.25,5.0,5.1,5.0,4.25
9.0,5.4,9.0,4.5,5.0,5.4,5.0,4.5
9.0,5.7,9.0,4.75,5.0,5.7,5.0,4.75
9.0,6.0,9.0,5.0,5.0,6.0,5.0,5.0
9.0,6.3,9.0,5.25,5.0,6.3,5.0,5.25
9.0,6.6,9.0,5.5,5.0,6.6,5.0,5.5
9.0,6.9,9.0,5.75,5.0,6.9,5.0,5.75
9.0,7.2,9.0,6.0,5.0,7.2,5.0,6.0
9.0,7.5,9.0,6.25,5.0,7.5,5.0,6.25
9.0,7.8,9.0,6.5,5.0,7.8,5.0,6.5
9.0,8.1,9.0,6.75,5.0,8.1,5.0,6.75
9.0,8.4,9.0,7.0,5.0,8.4,5.0,7.0
9.0,8.7,9.0,7.25,5.0,8.7,5.0,7.25
9.0,9.0,9.0,7.5,5.0,9.0,5.0,7.5
9.0,3.5,9.0,2.5,5.0,3.5,5.0,2.5
9.0,3.85,9.0,2.75,5.0,3.85,5.0,2.75
9.0,4.2,9.0,3.0,5.0,4.2,5.0,3.0
9.0,4.55,9.0,3.25,5.0,4.55,5.0,3.25
9.0,4.9,9.0,3.5,5.0,4.9,5.0,3.5
9.0,5.25,9.0,3.75,5.0,5.25,5.0,3.75
9.0,5.6,9.0,4.0,5.0,5.6,5.0,4.0
9.0,5.95,9.0,4.25,5.0,5.95,5.0,4.25
9.0,6.3,9.0,4.5,5.0,6.3,5.0,4.5
9.0,6.65,9.0,4.75,5.0,6.65,5.0,4.75
9.0,7.0,9.0,5.0,5.0,7.0,5.0,5.0
9.0,7.35,9.0,5.25,5.0,7.35,5.0,5.25
9.0,7.7,9.0,5.5,5.0,7.7,5.0,5.5
9.0,8.05,9.0,5.75,5.0,8.05,5.0,5.75
9.0,8.4,9.0,6.0,5.0,8.4,5.0,6.0
9.0,8.75,9.0,6.25,5.0,8.75,5.0,6.25
9.0,9.1,9.0,6.5,5.0,9.1,5.0,6.5
